1336642138,59.978,122.242
1336642139,59.978,122.573
1336642140,59.978,122.217
1336642141,59.974,122.572
1336642142,59.973,122.372
1336642143,59.973,122.573
1336642144,59.971,122.509
1336642146,59.971,122.512
1336642147,59.971,122.371
1336642148,59.97,122.322
1336642149,59.971,122.327
1336642150,59.969,122.201
1336642151,59.97,122.374
1336642152,59.97,122.124
1336642153,59.948,122.508
1336642154,59.95,122.152
1336642155,59.953,122.674
1336642156,59.953,122.228
1336642158,59.954,122.803
1336642159,59.978,122.14
1336642160,59.978,122.563
1336642161,59.978,122.033
1336642162,59.978,122.555
1336642163,59.978,122.011
1336642164,59.978,122.406
1336642165,59.974,122.039
1336642166,59.97,122.521
1336642167,59.969,122.045
1336642168,59.969,122.415
1336642169,59.966,122.078
1336642171,59.947,122.75
1336642172,59.954,122.317
1336642173,59.978,122.784
1336642174,59.978,122.419
1336642175,59.974,122.669
1336642176,59.969,122.273
1336642177,59.967,122.453
1336642178,59.969,122.197
1336642179,59.967,122.215
1336642180,59.948,122.131
1336642181,59.978,122.161
1336642183,59.978,122.22
1336642184,59.975,122.128
1336642185,59.968,122.383
1336642186,59.965,122.145
1336642187,59.967,122.525
1336642188,59.947,122.179
1336642189,59.953,122.57
1336642190,59.978,122.133
1336642191,59.978,122.697
1336642192,59.971,122.139
1336642193,59.965,122.776
1336642194,59.964,122.016
1336642196,59.948,122.775
1336642197,59.978,121.965
1336642198,59.978,122.795
1336642199,59.97,121.97
1336642200,59.965,122.299
1336642201,59.967,121.885
1336642202,59.945,122.382
1336642203,59.949,121.912
1336642204,59.953,122.433
1336642205,59.978,121.938
1336642206,59.978,122.483
1336642208,59.978,122.187
1336642209,59.978,122.434
1336642210,59.978,122.269
1336642211,59.978,122.269
1336642212,59.978,122.102
1336642213,59.978,122.225
1336642214,59.978,122.299
1336642215,59.978,122.228
1336642216,59.978,122.303
1336642217,59.978,122.413
1336642218,59.978,122.413
1336642219,59.978,122.162
1336642221,59.978,122.548
1336642222,59.978,122.179
1336642223,59.978,122.555
1336642224,59.978,122.029
1336642225,59.978,122.487
1336642226,59.954,121.929
1336642227,59.952,122.372
1336642228,59.977,121.898
1336642229,59.978,122.45
1336642230,59.976,121.933
1336642231,59.979,121.921
1336642233,59.979,121.921
1336642234,59.978,122.123
1336642235,59.978,122.729
1336642236,60.003,122.097
1336642237,60.003,122.097
1336642238,59.981,122.492
1336642239,59.98,121.976
1336642240,59.977,122.331
1336642241,59.978,122.349
1336642242,59.978,122.349
1336642243,59.978,122.037
1336642244,59.978,122.306
1336642246,59.978,122.189
1336642247,59.978,122.189
1336642248,59.978,122.22
1336642249,59.978,122.389
1336642250,59.978,122.389
1336642251,59.978,122.169
1336642252,59.978,122.425
1336642253,59.978,122.317
1336642254,59.978,122.606
1336642255,59.978,122.131
1336642256,59.978,122.402
1336642258,59.953,121.891
1336642259,59.952,122.323
1336642260,59.975,121.833
1336642261,59.974,121.828
1336642262,59.974,122.36
1336642263,59.974,122.36
1336642264,59.974,122.324
1336642265,59.974,121.832
1336642266,59.974,121.832
1336642267,59.973,121.889
1336642268,59.972,122.54
1336642269,59.971
1336642271,59.973,122.728
1336642272,59.981,122.12
1336642273,59.978,122.577
1336642274,59.978,122.101
1336642275,60.005,122.315
1336642276,59.987,121.982
1336642277,59.979,122.232
1336642278,59.978,122.118
1336642279,59.985,122.289
1336642280,59.986,122.197
1336642281,59.978,122.325
1336642283,59.983,122.421
1336642284,59.992,122.426
1336642285,60.015,122.454
1336642286,60.007,122.359
1336642287,60.004,122.162
1336642288,59.978,122.094
1336642289,60.017,121.803
1336642290,60.013,121.825
1336642291,59.994,122.47
1336642292,60.015,122.38
1336642293,60.005,122.54
1336642295,59.978,122.383
1336642296,59.986,122.239
1336642297,59.989,122.216
1336642298,60.004,122.153
1336642299,59.978,122.051
1336642300,59.978,122.5
1336642301,59.987,122.032
1336642302,59.978,121.948
1336642303,59.988,122.029
1336642304,60.009,121.928
1336642305,59.978,121.956
1336642306,59.989,122.188
1336642308,59.978,122.715
1336642309,59.981,122.587
1336642310,60.004,121.998
1336642311,59.979,122.02
1336642312,59.984,122.265
1336642313,59.99,122.579
1336642314,60.011,122.563
1336642315,59.978,122.669
1336642316,59.982,122.568
1336642317,60.012,122.137
1336642318,60.009,122.082
1336642320,59.978,122.006
1336642321,59.979,121.991
1336642322,59.989,121.984
1336642323,59.987,122.711
1336642324,59.978,122.61
1336642325,59.984,122.51
1336642326,59.979,122.221
1336642327,60.007,122.215
1336642328,59.982,122.494
1336642329,60.003,122.564
1336642330,59.985,122.521
1336642331,60.008,122.535
1336642333,59.979,122.557
1336642334,59.987,122.395
1336642335,59.985,122.003
1336642336,59.979,122.022
1336642337,59.982,121.974
1336642338,59.978,121.964
1336642339,59.978,121.985
1336642340,59.977,122.036
1336642341,59.979,122.08
1336642342,59.978,122.352
1336642343,60.003,122.245
1336642345,59.983,122.38
1336642346,59.978,122.273
1336642347,59.981,122.321
1336642348,59.981,122.355
1336642349,59.978,122.188
1336642350,59.978,122.079
1336642351,59.974,122.101
1336642352,59.971,121.971
1336642353,59.974,121.991
1336642354,59.974,121.988
1336642355,59.975,122.002
1336642356,59.973,122.052
1336642358,59.976,122.943
1336642359,59.975,122.803
1336642360,59.975,122.645
1336642361,59.97,122.472
1336642362,59.97,122.14
1336642363,59.947,122.248
1336642364,59.978,122.36
1336642365,59.978,122.217
1336642366,59.968,122.229
1336642367,59.969,122.433
1336642368,59.968,122.756
1336642370,59.951,122.875
1336642371,59.978,122.687
1336642372,59.966,122.438
1336642373,59.944,122.375
1336642374,59.95,122.024
1336642375,59.978,121.994
1336642376,59.979,122.082
1336642377,59.978,122.143
1336642378,59.977,122.114
1336642379,59.978,122.308
1336642380,59.983,122.32
1336642381,59.978,122.375
1336642383,59.982,122.321
1336642384,59.979,122.157
1336642385,59.978,122.236
1336642386,59.982,122.404
1336642387,59.978,122.114
1336642388,59.985,122.036
1336642389,59.978,122.034
1336642390,59.985,121.989
1336642391,59.978,122.418
1336642392,59.986,122.459
1336642393,60.011,122.648
1336642395,59.978,122.509
1336642396,59.984,122.43
1336642397,59.978,122.336
1336642398,59.987,122.272
1336642399,60.003,122.271
1336642400,59.981,122.264
1336642401,59.988,122.345
1336642402,59.979,122.373
1336642403,59.988,122.391
1336642404,60.006,122.402
1336642405,59.978,122.52
1336642406,59.988,122.622
1336642408,59.978,122.037
1336642409,59.988,121.997
1336642410,59.989,121.896
1336642411,59.978,121.891
1336642412,59.981,121.898
1336642413,59.991,121.92
1336642414,60.008,121.946
1336642415,59.978,122.092
1336642416,59.989,122.195
1336642417,59.978,122.411
1336642418,59.985,122.389
1336642420,59.978,122.24
1336642421,59.978,122.233
1336642422,59.982,122.363
1336642423,59.992,122.433
1336642424,59.993,122.587
1336642425,60.007,122.683
1336642426,59.978,122.61
1336642427,59.987,122.514
1336642428,59.99,122.536
1336642429,59.984,121.991
1336642430,59.991,121.944
1336642431,60.014
1336642433,60.006,121.95
1336642434,59.978,122.071
1336642435,59.982,122.124
1336642436,59.989,122.227
1336642437,60.004,122.339
1336642438,59.978,122.364
1336642439,59.994,122.386
1336642440,60.012,122.362
1336642441,59.978,122.526
1336642442,59.984,122.403
1336642443,59.986,122.392
1336642445,59.986,121.948
1336642446,59.979,122.053
1336642447,59.983,122.018
1336642448,59.978,121.919
1336642449,59.982,121.91
1336642450,59.978,121.914
1336642451,59.982,122.025
1336642452,59.978,122.18
1336642453,59.978,122.57
1336642454,59.98,122.161
1336642455,59.978,122.38
1336642457,59.983,122.231
1336642458,59.978,122.195
1336642459,59.978,122.306
1336642460,59.981,122.323
1336642461,59.978,122.375
1336642462,59.978,122.322
1336642463,59.976,122.171
1336642464,59.974,121.985
1336642465,59.975,121.98
1336642466,59.974,122.459
1336642467,59.974,122.347
1336642468,59.975,122.615
1336642470,59.974,122.753
1336642471,59.975,122.671
1336642472,59.975,122.56
1336642473,59.976,122.186
1336642474,59.971,122.168
1336642475,59.972,122.09
1336642476,59.974,122.224
1336642477,59.975,122.218
1336642478,59.975,122.218
1336642479,59.978,122.221
1336642480,59.978,122.273
1336642482,59.978,122.208
1336642483,59.978,122.347
1336642484,59.978,122.197
1336642485,59.978,122.503
1336642486,59.978,122.325
1336642487,59.978,122.637
1336642488,59.978,122.272
1336642489,59.978,122.67
1336642490,59.978,122.127
1336642491,59.978,122.628
1336642492,59.978,122.077
1336642493,59.979,122.549
1336642495,59.978,122.028
1336642496,59.978,122.807
1336642497,59.978,122.065
1336642498,59.978,122.847
1336642499,59.978,122.056
1336642500,59.978,122.674
1336642501,59.978,122.041
1336642502,59.978,122.648
1336642503,59.978,122.115
1336642504,59.978,122.748
1336642505,59.978,122.066
1336642507,59.978,122.612
1336642508,59.978,122.222
1336642509,59.978,122.587
1336642510,59.977,122.271
1336642511,59.978,122.699
1336642512,59.978,122.38
1336642513,59.978,122.586
1336642514,59.978,122.405
1336642515,59.978,122.553
1336642516,59.979,122.441
1336642517,59.979,122.488
1336642518,59.978,122.439
1336642520,59.976,122.363
1336642521,59.974,122.515
1336642522,59.971,122.274
1336642523,59.97,122.511
1336642524,59.969,122.243
1336642525,59.969,122.682
1336642526,59.967,122.298
1336642527,59.948,122.699
1336642528,59.952,122.235
1336642529,59.978,122.762
1336642530,59.977,122.225
1336642532,59.97,122.818
1336642533,59.965,122.215
1336642534,59.941,122.682
1336642535,59.949,122.141
1336642536,59.978,122.557
1336642537,59.978,122.109
1336642538,59.978,122.649
1336642539,59.978,122.103
1336642540,59.974,122.729
1336642541,59.97,122.14
1336642542,59.969,122.786
1336642543,59.969,122.287
1336642545,59.967,122.765
1336642546,59.968,122.283
1336642547,59.948,122.611
1336642548,59.951,122.179
1336642549,59.978,122.487
1336642550,59.978,122.382
1336642551,59.978,122.55
1336642552,59.978,122.297
1336642553,59.976,122.404
1336642554,59.973,122.41
1336642555,59.97,122.386
1336642557,59.97,122.451
1336642558,59.968,122.329
1336642559,59.971,122.441
1336642560,59.972,122.346
1336642561,59.972,122.636
1336642562,59.97,122.345
1336642563,59.973,122.667
