1340011540,60.007,123.151
1340011541,59.99,123.13
1340011542,59.978,123.149
1340011543,60.01,123.141
1340011544,59.988,123.14
1340011545,59.978,123.162
1340011546,60.01,123.16
1340011547,59.989,123.127
1340011548,59.978,123.122
1340011549,60.012,123.137
1340011550,59.987,123.14
1340011551,59.978,123.152
1340011552,59.991,123.123
1340011553,59.98,123.153
1340011554,60.012,123.136
1340011555,59.987,123.143
1340011556,60.008,123.134
1340011557,59.991,123.146
1340011558,60.009,123.142
1340011559,59.99,123.079
1340011560,60.011,123.153
1340011561,59.989,123.143
1340011562,60.016,123.154
1340011563,59.983,123.131
1340011564,60.024,123.151
1340011565,60.005,123.134
1340011566,59.994,123.182
1340011567,60.017,123.172
1340011568,59.982,123.153
1340011569,60,123.154
1340011570,60.013,123.16
1340011571,59.987,123.197
1340011572,60.024,123.233
1340011573,60.004,123.188
1340011574,59.995,123.185
1340011575,60.01,123.184
1340011576,59.989,123.164
1340011577,60.017,123.194
1340011578,59.982,123.185
1340011579,60,123.139
1340011580,60.013,123.166
1340011581,59.987,122.544
1340011582,60.026,122.833
1340011583,60.009,122.775
1340011584,59.989,122.733
1340011585,60.025,122.713
1340011586,60.006,122.725
1340011587,59.993,122.691
1340011588,60.02,122.715
1340011589,60.004,122.748
1340011590,59.996,122.748
1340011591,60.016,122.75
1340011592,59.983,122.754
1340011593,60.001,122.738
1340011594,60.006,122.763
1340011595,59.993,122.783
1340011596,60.013,122.752
1340011597,59.986,122.768
1340011598,60.023,122.751
1340011599,60.003,122.748
1340011600,59.996,122.733
1340011601,60.016,122.782
1340011602,59.983,122.779
1340011603,60.001,122.778
1340011604,60.009,122.767
1340011605,59.99,122.778
1340011606,60.022,122.774
1340011607,60.005,122.783
1340011608,59.994,122.774
1340011609,60.019,122.783
1340011610,60.005,122.793
1340011611,59.995,122.786
1340011612,60.022,122.765
1340011613,60.005,122.775
1340011614,59.994,122.77
1340011615,60.023,122.822
1340011616,60.009,122.788
1340011617,59.99,122.784
1340011618,60.027,122.78
1340011619,60.013,122.812
1340011620,59.986,122.804
1340011621,60,122.766
1340011622,60.02,122.76
1340011623,60.005,122.768
1340011624,59.992,122.811
1340011626,60.027
1340011627,60.017,122.828
1340011628,60.007,122.778
1340011629,59.996,122.77
1340011630,60.023,122.766
1340011631,60.009,122.761
1340011632,59.99,122.733
1340011633,60.027,122.744
1340011634,60.014,122.737
1340011635,60.01,122.72
1340011636,59.996,122.72
